Task,Domain,Model,Concept,File,Correct
Edit,Psychological biases,GPT-4o,IKEA Effect,0_2.txt,no
Edit,Psychological biases,Gemini-2.0,IKEA Effect,0_6.txt,yes
Edit,Psychological biases,Claude-Sonnet,IKEA Effect,0_0.txt,yes
Edit,Psychological biases,DeepSeek-V3,IKEA Effect,0_4.txt,yes
Edit,Psychological biases,DeepSeek-R1,IKEA Effect,0_2.txt,no
Edit,Psychological biases,Qwen2-VL,IKEA Effect,0_4.txt,no
Edit,Psychological biases,Llama-3.3,Pseudocertainty Effect,0_1.txt,yes
Edit,Psychological biases,GPT-4o,Pseudocertainty Effect,0_1.txt,yes
Edit,Psychological biases,Gemini-2.0,Pseudocertainty Effect,0_3.txt,yes
Edit,Psychological biases,Claude-Sonnet,Pseudocertainty Effect,0_3.txt,yes
Edit,Psychological biases,DeepSeek-V3,Pseudocertainty Effect,0_0.txt,yes
Edit,Psychological biases,DeepSeek-R1,Pseudocertainty Effect,0_1.txt,yes
Edit,Psychological biases,Qwen2-VL,Pseudocertainty Effect,0_0.txt,no
Edit,Psychological biases,Llama-3.3,Endowment Effect,0_3.txt,no
Edit,Psychological biases,GPT-4o,Endowment Effect,0_4.txt,no
Edit,Psychological biases,Gemini-2.0,Endowment Effect,0_2.txt,yes
Edit,Psychological biases,Claude-Sonnet,Endowment Effect,0_1.txt,yes
Edit,Psychological biases,DeepSeek-V3,Endowment Effect,0_0.txt,no
Edit,Psychological biases,DeepSeek-R1,Endowment Effect,0_0.txt,no
Edit,Psychological biases,Qwen2-VL,Endowment Effect,0_2.txt,no
Edit,Psychological biases,Llama-3.3,Naive Cynicism,0_6.txt,yes
Edit,Psychological biases,GPT-4o,Naive Cynicism,0_2.txt,yes
Edit,Psychological biases,Gemini-2.0,Naive Cynicism,0_0.txt,yes
Edit,Psychological biases,Claude-Sonnet,Naive Cynicism,0_2.txt,yes
Edit,Psychological biases,DeepSeek-V3,Naive Cynicism,0_3.txt,yes
Edit,Psychological biases,DeepSeek-R1,Naive Cynicism,0_4.txt,yes
Edit,Psychological biases,Qwen2-VL,Naive Cynicism,0_4.txt,yes
Edit,Psychological biases,Llama-3.3,Normalcy Bias,0_4.txt,no
Edit,Psychological biases,GPT-4o,Normalcy Bias,0_0.txt,no
Edit,Psychological biases,Gemini-2.0,Normalcy Bias,0_1.txt,yes
Edit,Psychological biases,Claude-Sonnet,Normalcy Bias,0_1.txt,yes
Edit,Psychological biases,DeepSeek-V3,Normalcy Bias,0_2.txt,yes
Edit,Psychological biases,DeepSeek-R1,Normalcy Bias,0_3.txt,no
Edit,Psychological biases,Qwen2-VL,Normalcy Bias,0_0.txt,no
Edit,Psychological biases,Llama-3.3,Spotlight Effect,0_3.txt,yes
Edit,Psychological biases,GPT-4o,Spotlight Effect,0_2.txt,yes
Edit,Psychological biases,Gemini-2.0,Spotlight Effect,0_4.txt,yes
Edit,Psychological biases,Claude-Sonnet,Spotlight Effect,0_1.txt,yes
Edit,Psychological biases,DeepSeek-V3,Spotlight Effect,0_2.txt,yes
Edit,Psychological biases,DeepSeek-R1,Spotlight Effect,0_1.txt,no
Edit,Psychological biases,Qwen2-VL,Spotlight Effect,0_3.txt,no
Edit,Psychological biases,Llama-3.3,Illusory Superiority,0_3.txt,yes
Edit,Psychological biases,GPT-4o,Illusory Superiority,0_2.txt,yes
Edit,Psychological biases,Gemini-2.0,Illusory Superiority,0_4.txt,yes
Edit,Psychological biases,Claude-Sonnet,Illusory Superiority,0_4.txt,yes
Edit,Psychological biases,DeepSeek-V3,Illusory Superiority,0_0.txt,yes
Edit,Psychological biases,DeepSeek-R1,Illusory Superiority,0_2.txt,yes
Edit,Psychological biases,Qwen2-VL,Illusory Superiority,0_4.txt,yes
Edit,Psychological biases,Llama-3.3,Catastrophizing,0_3.txt,yes
Edit,Psychological biases,GPT-4o,Catastrophizing,0_4.txt,yes
Edit,Psychological biases,Gemini-2.0,Catastrophizing,0_1.txt,yes
Edit,Psychological biases,Claude-Sonnet,Catastrophizing,0_4.txt,yes
Edit,Psychological biases,DeepSeek-V3,Catastrophizing,0_5.txt,no
Edit,Psychological biases,DeepSeek-R1,Catastrophizing,0_5.txt,yes
Edit,Psychological biases,Qwen2-VL,Catastrophizing,0_4.txt,yes
