Task,Domain,Model,Concept,File,Correct
Generate,Psychological biases,Claude-Sonnet,Naive Cynicism,0.txt,yes
Generate,Psychological biases,DeepSeek-V3,Naive Cynicism,0.txt,yes
Generate,Psychological biases,DeepSeek-R1,Naive Cynicism,0.txt,yes
Generate,Psychological biases,Qwen2-VL,Naive Cynicism,0.txt,no
Generate,Psychological biases,Llama-3.3,Normalcy Bias,0.txt,yes
Generate,Psychological biases,GPT-4o,Normalcy Bias,0.txt,yes
Generate,Psychological biases,Gemini-2.0,Normalcy Bias,0.txt,yes
Generate,Psychological biases,Claude-Sonnet,Normalcy Bias,0.txt,yes
Generate,Psychological biases,DeepSeek-V3,Normalcy Bias,0.txt,yes
Generate,Psychological biases,DeepSeek-R1,Normalcy Bias,0.txt,yes
Generate,Psychological biases,Qwen2-VL,Normalcy Bias,0.txt,yes
Generate,Psychological biases,Llama-3.3,Spotlight Effect,0.txt,yes
Generate,Psychological biases,GPT-4o,Spotlight Effect,0.txt,no
Generate,Psychological biases,Gemini-2.0,Spotlight Effect,0.txt,yes
Generate,Psychological biases,Claude-Sonnet,Spotlight Effect,0.txt,yes
Generate,Psychological biases,DeepSeek-V3,Spotlight Effect,0.txt,yes
Generate,Psychological biases,DeepSeek-R1,Spotlight Effect,0.txt,yes
Generate,Psychological biases,Qwen2-VL,Spotlight Effect,0.txt,yes
Generate,Psychological biases,Llama-3.3,Illusory Superiority,0.txt,yes
Generate,Psychological biases,GPT-4o,Illusory Superiority,0.txt,yes
Generate,Psychological biases,Gemini-2.0,Illusory Superiority,0.txt,no
Generate,Psychological biases,Claude-Sonnet,Illusory Superiority,0.txt,yes
Generate,Psychological biases,DeepSeek-V3,Illusory Superiority,0.txt,no
Generate,Psychological biases,DeepSeek-R1,Illusory Superiority,0.txt,yes
Generate,Psychological biases,Qwen2-VL,Illusory Superiority,0.txt,no
Generate,Psychological biases,Llama-3.3,Catastrophizing,0.txt,yes
Generate,Psychological biases,GPT-4o,Catastrophizing,0.txt,yes
Generate,Psychological biases,Gemini-2.0,Catastrophizing,0.txt,yes
Generate,Psychological biases,Claude-Sonnet,Catastrophizing,0.txt,yes
Generate,Psychological biases,DeepSeek-V3,Catastrophizing,0.txt,no
Generate,Psychological biases,DeepSeek-R1,Catastrophizing,0.txt,yes
Generate,Psychological biases,Qwen2-VL,Catastrophizing,0.txt,yes
